"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=junit.tests.AllTests"
"main", "5", "SYSTEM", "Method Call", "caller=SYSTEM, target=junit.tests.AllTests#main:1"
"main", "6", "SYSTEM", "Method Entered", ""
"main", "7", "SYSTEM", "Variable Write", "context=junit.tests.AllTests#main:1, args=java.lang.String[0] (id=23)"
"main", "8", "SYSTEM", "Line Step", "<source unavailable>"
"main", "9", "SYSTEM", "Method Call", "caller=junit.tests.AllTests#main:1, target=junit.tests.AllTests#suite:1"
"main", "10", "SYSTEM", "Method Entered", ""
"main", "11", "SYSTEM", "Line Step", "<source unavailable>"
"main", "12", "SYSTEM", "Type Load", "class=junit.framework.TestSuite"
"main", "13", "SYSTEM", "New Object", "object=junit.framework.TestSuite:1"
"main", "14", "SYSTEM", "Method Call", "caller=junit.tests.AllTests#suite:1, target=junit.framework.TestSuite:1#junit.framework.TestSuite:1"
"main", "15", "SYSTEM", "Method Entered", ""
"main", "16", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:1#junit.framework.TestSuite:1, name=""Framework Tests"""
"main", "17", "SYSTEM", "Line Step", "<source unavailable>"
"main", "18", "SYSTEM", "Line Step", "<source unavailable>"
"main", "19", "SYSTEM", "Field Write", "context=junit.framework.TestSuite:1, fTests=java.util.Vector (id=31)"
"main", "20", "SYSTEM", "Line Step", "<source unavailable>"
"main", "21", "SYSTEM", "Field Write", "context=junit.framework.TestSuite:1, fName=""Framework Tests"""
"main", "22", "SYSTEM", "Line Step", "<source unavailable>"
"main", "23", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:1#junit.framework.TestSuite:1, value=<void>"
"main", "24", "SYSTEM", "Method Returned", ""
"main", "25", "SYSTEM", "Line Step", "<source unavailable>"
"main", "26", "SYSTEM", "Variable Write", "context=junit.tests.AllTests#suite:1, suite=junit.framework.TestSuite:1"
"main", "27", "SYSTEM", "Line Step", "<source unavailable>"
"main", "28", "SYSTEM", "Method Call", "caller=junit.tests.AllTests#suite:1, target=junit.framework.TestSuite:1#addTestSuite:1"
"main", "29", "SYSTEM", "Method Entered", ""
"main", "30", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:1#addTestSuite:1, testClass=java.lang.Class (id=40)"
"main", "31", "SYSTEM", "Line Step", "<source unavailable>"
"main", "32", "SYSTEM", "New Object", "object=junit.framework.TestSuite:2"
"main", "33", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:1#addTestSuite:1, target=junit.framework.TestSuite:2#junit.framework.TestSuite:1"
"main", "34", "SYSTEM", "Method Entered", ""
"main", "35", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, theClass=java.lang.Class (id=40)"
"main", "36", "SYSTEM", "Line Step", "<source unavailable>"
"main", "37", "SYSTEM", "Line Step", "<source unavailable>"
"main", "38", "SYSTEM", "Field Write", "context=junit.framework.TestSuite:2, fTests=java.util.Vector (id=42)"
"main", "39", "SYSTEM", "Line Step", "<source unavailable>"
"main", "40", "SYSTEM", "Field Write", "context=junit.framework.TestSuite:2, fName=""junit.tests.ExtensionTest"""
"main", "41", "SYSTEM", "Line Step", "<source unavailable>"
"main", "42", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, constructor=null"
"main", "43", "SYSTEM", "Line Step", "<source unavailable>"
"main", "44", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#junit.framework.TestSuite:1, target=junit.framework.TestSuite:2#getConstructor:1"
"main", "45", "SYSTEM", "Method Entered", ""
"main", "46", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#getConstructor:1, theClass=java.lang.Class (id=40)"
"main", "47", "SYSTEM", "Line Step", "<source unavailable>"
"main", "48", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#getConstructor:1, args=java.lang.Class[1] (id=44)"
"main", "49", "SYSTEM", "Line Step", "<source unavailable>"
"main", "50", "SYSTEM", "Type Load", "class=junit.framework.Assert"
"main", "51", "SYSTEM", "Type Load", "class=junit.framework.TestCase"
"main", "52", "SYSTEM", "Type Load", "class=junit.tests.ExtensionTest"
"main", "53", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#getConstructor:1, result=java.lang.reflect.Constructor (id=55)"
"main", "54", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#getConstructor:1, value=java.lang.reflect.Constructor (id=55)"
"main", "55", "SYSTEM", "Method Returned", ""
"main", "56", "SYSTEM", "Line Step", "<source unavailable>"
"main", "57", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, constructor=java.lang.reflect.Constructor (id=55)"
"main", "58", "SYSTEM", "Line Step", "<source unavailable>"
"main", "59", "SYSTEM", "Line Step", "<source unavailable>"
"main", "60", "SYSTEM", "Line Step", "<source unavailable>"
"main", "61", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, superClass=java.lang.Class (id=40)"
"main", "62", "SYSTEM", "Line Step", "<source unavailable>"
"main", "63", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, names=java.util.Vector (id=58)"
"main", "64", "SYSTEM", "Line Step", "<source unavailable>"
"main", "65", "SYSTEM", "Line Step", "<source unavailable>"
"main", "66", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, methods=java.lang.reflect.Method[4] (id=59)"
"main", "67", "SYSTEM", "Line Step", "<source unavailable>"
"main", "68", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, i=0"
"main", "69", "SYSTEM", "Line Step", "<source unavailable>"
"main", "70", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#junit.framework.TestSuite:1, target=junit.framework.TestSuite:2#addTestMethod:1"
"main", "71", "SYSTEM", "Method Entered", ""
"main", "72", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, m=java.lang.reflect.Method (id=61)"
"main", "73", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, names=java.util.Vector (id=58)"
"main", "74", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, constructor=java.lang.reflect.Constructor (id=55)"
"main", "75", "SYSTEM", "Line Step", "<source unavailable>"
"main", "76", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, name=""testSetupErrorInTestSetup"""
"main", "77", "SYSTEM", "Line Step", "<source unavailable>"
"main", "78", "SYSTEM", "Line Step", "<source unavailable>"
"main", "79", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:1, target=junit.framework.TestSuite:2#isPublicTestMethod:1"
"main", "80", "SYSTEM", "Method Entered", ""
"main", "81", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:1, m=java.lang.reflect.Method (id=61)"
"main", "82", "SYSTEM", "Line Step", "<source unavailable>"
"main", "83", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#isPublicTestMethod:1, target=junit.framework.TestSuite:2#isTestMethod:1"
"main", "84", "SYSTEM", "Method Entered", ""
"main", "85", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, m=java.lang.reflect.Method (id=61)"
"main", "86", "SYSTEM", "Line Step", "<source unavailable>"
"main", "87", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, name=""testSetupErrorInTestSetup"""
"main", "88", "SYSTEM", "Line Step", "<source unavailable>"
"main", "89", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, parameters=java.lang.Class[0] (id=64)"
"main", "90", "SYSTEM", "Line Step", "<source unavailable>"
"main", "91", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, returnType=java.lang.Class (id=65)"
"main", "92", "SYSTEM", "Line Step", "<source unavailable>"
"main", "93", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, result=true"
"main", "94", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isTestMethod:1, value=true"
"main", "95", "SYSTEM", "Method Returned", ""
"main", "96", "SYSTEM", "Line Step", "<source unavailable>"
"main", "97", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:1, result=true"
"main", "98", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isPublicTestMethod:1, value=true"
"main", "99", "SYSTEM", "Method Returned", ""
"main", "100", "SYSTEM", "Line Step", "<source unavailable>"
"main", "101", "SYSTEM", "Line Step", "<source unavailable>"
"main", "102", "SYSTEM", "Line Step", "<source unavailable>"
"main", "103", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, args=java.lang.Object[1] (id=66)"
"main", "104", "SYSTEM", "Line Step", "<source unavailable>"
