"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=junit.runner.BaseTestRunner"
"main", "5", "SYSTEM", "Type Load", "class=junit.awtui.TestRunner"
"main", "6", "SYSTEM", "Type Load", "class=junit.ui.TestRunner"
"main", "7", "SYSTEM", "Method Call", "caller=SYSTEM, target=junit.runner.BaseTestRunner#<clinit>:1"
"main", "8", "SYSTEM", "Method Entered", ""
"main", "9", "SYSTEM", "Line Step", "<source unavailable>"
"main", "10", "SYSTEM", "Field Write", "context=junit.runner.BaseTestRunner, fgMaxMessageLength=500"
"main", "11", "SYSTEM", "Line Step", "<source unavailable>"
"main", "12", "SYSTEM", "Field Write", "context=junit.runner.BaseTestRunner, fgFilterStack=true"
"main", "13", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#<clinit>:1, value=<void>"
"main", "14", "SYSTEM", "Method Returned", ""
"main", "15", "SYSTEM", "Method Call", "caller=SYSTEM, target=junit.awtui.TestRunner#<clinit>:1"
"main", "16", "SYSTEM", "Method Entered", ""
"main", "17", "SYSTEM", "Line Step", "<source unavailable>"
"main", "18", "SYSTEM", "Field Write", "context=junit.awtui.TestRunner, PLAIN_FONT=java.awt.Font (id=78)"
"main", "19", "SYSTEM", "Line Step", "<source unavailable>"
"main", "20", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner#<clinit>:1, value=<void>"
"main", "21", "SYSTEM", "Method Returned", ""
"main", "22", "SYSTEM", "Method Call", "caller=SYSTEM, target=junit.ui.TestRunner#main:1"
"main", "23", "SYSTEM", "Method Entered", ""
"main", "24", "SYSTEM", "Variable Write", "context=junit.ui.TestRunner#main:1, args=java.lang.String[0] (id=79)"
"main", "25", "SYSTEM", "Line Step", "<source unavailable>"
"main", "26", "SYSTEM", "New Object", "object=junit.ui.TestRunner:1"
"main", "27", "SYSTEM", "Method Call", "caller=junit.ui.TestRunner#main:1, target=junit.ui.TestRunner:1#TestRunner:1"
"main", "28", "SYSTEM", "Method Entered", ""
"main", "29", "SYSTEM", "Line Step", "<source unavailable>"
"main", "30", "SYSTEM", "Method Call", "caller=junit.ui.TestRunner:1#TestRunner:1, target=junit.awtui.TestRunner:1#junit.awtui.TestRunner:1"
"main", "31", "SYSTEM", "Method Entered", ""
"main", "32", "SYSTEM", "Line Step", "<source unavailable>"
"main", "33", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#junit.awtui.TestRunner:1, target=junit.runner.BaseTestRunner:1#BaseTestRunner:1"
"main", "34", "SYSTEM", "Method Entered", ""
"main", "35", "SYSTEM", "Line Step", "<source unavailable>"
"main", "36", "SYSTEM", "Line Step", "<source unavailable>"
"main", "37", "SYSTEM", "Field Write", "context=junit.runner.BaseTestRunner:1, fLoading=true"
"main", "38", "SYSTEM", "Line Step", "<source unavailable>"
"main", "39", "SYSTEM", "Field Write", "context=junit.runner.BaseTestRunner, fPreferences=java.util.Properties (id=82)"
"main", "40", "SYSTEM", "Line Step", "<source unavailable>"
"main", "41", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner, fPreferences"
"main", "42", "SYSTEM", "Line Step", "<source unavailable>"
"main", "43", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner, fPreferences"
"main", "44", "SYSTEM", "Line Step", "<source unavailable>"
"main", "45", "SYSTEM", "Method Call", "caller=junit.runner.BaseTestRunner:1#BaseTestRunner:1, target=junit.runner.BaseTestRunner#readPreferences:1"
"main", "46", "SYSTEM", "Method Entered", ""
"main", "47", "SYSTEM", "Line Step", "<source unavailable>"
"main", "48", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#readPreferences:1, is=null"
"main", "49", "SYSTEM", "Line Step", "<source unavailable>"
"main", "50", "SYSTEM", "Method Call", "caller=junit.runner.BaseTestRunner#readPreferences:1, target=junit.runner.BaseTestRunner#getPreferencesFile:1"
"main", "51", "SYSTEM", "Method Entered", ""
"main", "52", "SYSTEM", "Line Step", "<source unavailable>"
"main", "53", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreferencesFile:1, home=""C:\Users\aswat"""
"main", "54", "SYSTEM", "Line Step", "<source unavailable>"
"main", "55", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreferencesFile:1, result=java.io.File (id=87)"
"main", "56", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#getPreferencesFile:1, value=java.io.File (id=87)"
"main", "57", "SYSTEM", "Method Returned", ""
"main", "58", "SYSTEM", "Line Step", "<source unavailable>"
"main", "59", "SYSTEM", "Exception Throw", "exception=java.io.FileNotFoundException (id=89), thrower=junit.runner.BaseTestRunner#readPreferences:1, framePopped=false"
"main", "60", "SYSTEM", "Exception Catch", "exception=java.io.FileNotFoundException (id=89), catcher=junit.runner.BaseTestRunner#readPreferences:1, variable=e"
"main", "61", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#readPreferences:1, e=java.io.FileNotFoundException (id=89)"
"main", "62", "SYSTEM", "Line Step", "<source unavailable>"
"main", "63", "SYSTEM", "Variable Delete", "method=junit.runner.BaseTestRunner#readPreferences:1 <name=e,type=java.io.IOException (unresolved),value=<?>,index=1>"
"main", "64", "SYSTEM", "Line Step", "<source unavailable>"
"main", "65", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#readPreferences:1, value=<void>"
"main", "66", "SYSTEM", "Method Returned", ""
"main", "67", "SYSTEM", "Line Step", "<source unavailable>"
"main", "68", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner, fgMaxMessageLength"
"main", "69", "SYSTEM", "Method Call", "caller=junit.runner.BaseTestRunner:1#BaseTestRunner:1, target=junit.runner.BaseTestRunner#getPreference:1"
"main", "70", "SYSTEM", "Method Entered", ""
"main", "71", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, key=""maxmessage"""
"main", "72", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, dflt=500"
"main", "73", "SYSTEM", "Line Step", "<source unavailable>"
"main", "74", "SYSTEM", "Method Call", "caller=junit.runner.BaseTestRunner#getPreference:1, target=junit.runner.BaseTestRunner#getPreference:1"
"main", "75", "SYSTEM", "Method Entered", ""
"main", "76", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, key=""maxmessage"""
"main", "77", "SYSTEM", "Line Step", "<source unavailable>"
"main", "78", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner, fPreferences"
"main", "79", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, result=null"
"main", "80", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#getPreference:1, value=null"
"main", "81", "SYSTEM", "Method Returned", ""
"main", "82", "SYSTEM", "Line Step", "<source unavailable>"
"main", "83", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, value=null"
"main", "84", "SYSTEM", "Line Step", "<source unavailable>"
"main", "85", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, intValue=500"
"main", "86", "SYSTEM", "Line Step", "<source unavailable>"
"main", "87", "SYSTEM", "Line Step", "<source unavailable>"
"main", "88", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, result=500"
"main", "89", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#getPreference:1, value=500"
"main", "90", "SYSTEM", "Method Returned", ""
"main", "91", "SYSTEM", "Line Step", "<source unavailable>"
"main", "92", "SYSTEM", "Field Write", "context=junit.runner.BaseTestRunner, fgMaxMessageLength=500"
"main", "93", "SYSTEM", "Line Step", "<source unavailable>"
"main", "94", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner:1#BaseTestRunner:1, value=<void>"
"main", "95", "SYSTEM", "Method Returned", ""
"main", "96", "SYSTEM", "Line Step", "<source unavailable>"
"main", "97", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner:1#junit.awtui.TestRunner:1, value=<void>"
"main", "98", "SYSTEM", "Method Returned", ""
"main", "99", "SYSTEM", "Line Step", "<source unavailable>"
"main", "100", "SYSTEM", "Method Exit", "returner=junit.ui.TestRunner:1#TestRunner:1, value=<void>"
"main", "101", "SYSTEM", "Method Returned", ""
"main", "102", "SYSTEM", "Line Step", "<source unavailable>"
"main", "103", "SYSTEM", "Method Call", "caller=junit.ui.TestRunner#main:1, target=junit.awtui.TestRunner:1#start:1"
"main", "104", "SYSTEM", "Method Entered", ""
"main", "105", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#start:1, args=java.lang.String[0] (id=79)"
"main", "106", "SYSTEM", "Line Step", "<source unavailable>"
"main", "107", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#start:1, target=junit.runner.BaseTestRunner:1#processArguments:1"
"main", "108", "SYSTEM", "Method Entered", ""
